代,"天皇名の漢風諡号追号",読み,"天皇名の和風諡号御称号(幼名)別称",諱,画像,"諡号・追号の別諡号・追号の由来","在位期間（1872年以前の日付は旧暦）",備考,"生年月日 - 没年月日享年"
1,"神武天皇(神武天皇)",じんむ,"神日本磐余彦天皇狹野(異称)始馭天下之天皇","彦火火出見若御毛沼",,"諡号淡海三船による一括撰進","神武天皇元年1月1日- 同76年3月11日(『日本書紀』)",,"庚午年1月1日- 神武天皇76年3月11日127歳没(『日本書紀』)"
2,"綏靖天皇(綏靖天皇)",すいぜい,神渟名川耳天皇,,,"諡号淡海三船による一括撰進","綏靖天皇元年1月8日- 同33年5月10日(『日本書紀』)",欠史八代の一。,"神武天皇29年- 綏靖天皇33年5月10日84歳没(『日本書紀』)"
3,安寧天皇,あんねい,磯城津彦玉手看天皇,,,"諡号淡海三船による一括撰進","綏靖天皇33年7月15日- 安寧天皇38年12月6日(『日本書紀』)",欠史八代の一。,"綏靖天皇5年- 安寧天皇38年12月6日67歳没(『日本書紀』)"
4,"懿徳天皇(懿德天皇)",いとく,大日本彦耜友天皇,,,"諡号淡海三船による一括撰進","懿徳天皇元年2月4日- 同34年9月8日(『日本書紀』)",欠史八代の一。,"綏靖天皇29年- 懿徳天皇34年9月8日77歳没(『日本書紀』)"
5,孝昭天皇,"こうしょう(かうせう)",観松彦香殖稲天皇,,,"諡号淡海三船による一括撰進","孝昭天皇元年1月9日- 同83年8月5日(『日本書紀』)",欠史八代の一。,"懿徳天皇5年- 孝昭天皇83年8月5日114歳没(『日本書紀』)"
6,孝安天皇,"こうあん(かうあん)",日本足彦国押人天皇,,,"諡号淡海三船による一括撰進","孝安天皇元年1月7日- 同102年1月9日(『日本書紀』)",欠史八代の一。,"孝昭天皇49年- 孝安天皇102年1月9日137歳没(『日本書紀』)"
7,"孝霊天皇(孝靈天皇)","こうれい(かうれい)",大日本根子彦太瓊天皇,,,"諡号淡海三船による一括撰進","孝霊天皇元年1月12日- 同76年2月8日（『日本書紀』)",欠史八代の一。,"孝安天皇51年- 孝霊天皇76年2月8日128歳没（『日本書紀』)"
8,孝元天皇,"こうげん(かうげん)",大日本根子彦国牽天皇,,,"諡号淡海三船による一括撰進","孝元天皇元年1月14日- 同57年9月2日(『日本書紀』）",欠史八代の一。,"孝霊天皇18年- 孝元天皇57年9月2日116歳没(『日本書紀』)"
9,開化天皇,"かいか(かいくゎ)",稚日本根子彦大日日天皇,,,"諡号淡海三船による一括撰進","孝元天皇57年11月12日- 開化天皇60年4月9日(『日本書紀』)",欠史八代の一。,"孝元天皇7年- 開化天皇60年4月9日111歳没(『日本書紀』)"
10,"崇神天皇(崇神天皇)",すじん,"御間城入彦五十瓊殖天皇(異称)御肇國天皇",,,"諡号淡海三船による一括撰進","崇神天皇元年1月13日- 同68年12月5日(『日本書紀』)",,"開化天皇10年- 崇神天皇68年12月5日119歳没(『日本書紀』)"
11,垂仁天皇,すいにん,活目入彦五十狭茅天皇,,,"諡号淡海三船による一括撰進","垂仁天皇元年1月2日- 同99年7月14日(『日本書紀』)",,"崇神天皇29年1月1日- 垂仁天皇99年7月14日139歳没(『日本書紀』)"
